t, u, e
0.2440178394317627, 0.15679346824855844, 1.2292095842705852e-05
0.3710181713104248, 0.15363582201299716, 1.1801982902804672e-05
0.43602514266967773, 0.15722220038830056, 1.2359410147469469e-05
0.5070168972015381, 0.149933754012684, 1.1240065296168018e-05
0.5520164966583252, 0.16437181921390542, 1.3509047475844403e-05
0.6110150814056396, 0.16356409528656435, 1.3376606633456152e-05
0.6780164241790771, 0.16659306001409335, 1.3876623822429655e-05
0.7442317008972168, 0.15762266447487291, 1.2422452178079182e-05
0.8112237453460693, 0.15826340701338865, 1.2523652999742758e-05
0.8772234916687012, 0.1521549948128719, 1.1575571223252537e-05
0.9442281723022461, 0.15409858051303632, 1.187318625806637e-05
1.011223554611206, 0.15437623561305983, 1.191601106102948e-05
1.1042587757110596, 0.15363582201299716, 1.1801982902804672e-05
1.1622586250305176, 0.149933754012684, 1.1240065296168018e-05
1.212259292602539, 0.16302320872807705, 1.3288283291999089e-05
1.277256727218628, 0.15326561521296583, 1.1745174403304451e-05
1.3442573547363281, 0.1590206481952709, 1.2643783276222056e-05
1.4112589359283447, 0.15132202951280146, 1.1449178307936578e-05
1.4782586097717285, 0.15770809681334166, 1.2435921900243174e-05
